Time[s],5651::Alt_Heading::Heading[Degrees],,Time[s],5651::mixed_position::Lat[Degrees],,Time[s],5651::mixed_position::Lon[Degrees]
0.023650,357.2500000,,0.023880,40.0095070,,0.023880,116.3802714
0.033660,357.2400000,,0.033890,40.0095083,,0.033890,116.3802714
0.043650,357.2400000,,0.043880,40.0095095,,0.043880,116.3802713
0.053650,357.2400000,,0.053880,40.0095108,,0.053880,116.3802712
0.063640,357.2400000,,0.063870,40.0095120,,0.063870,116.3802711
0.074790,357.2400000,,0.075020,40.0095133,,0.075020,116.3802711
0.084130,357.2300000,,0.084360,40.0095146,,0.084360,116.3802710
0.094290,357.2300000,,0.094520,40.0095158,,0.094520,116.3802709
0.103640,357.2300000,,0.103870,40.0095171,,0.103870,116.3802708
0.113640,357.2300000,,0.113880,40.0095183,,0.113880,116.3802707
0.123660,357.2300000,,0.123890,40.0095196,,0.123890,116.3802707
0.133650,357.2300000,,0.133870,40.0095208,,0.133870,116.3802706
0.143650,357.2200000,,0.143880,40.0095221,,0.143880,116.3802705
0.153640,357.2200000,,0.153880,40.0095233,,0.153880,116.3802704
0.163640,357.2100000,,0.163870,40.0095246,,0.163870,116.3802704
0.174760,357.2100000,,0.174990,40.0095259,,0.174990,116.3802703
0.183640,357.2200000,,0.183870,40.0095271,,0.183870,116.3802702
0.193640,357.2100000,,0.193870,40.0095284,,0.193870,116.3802701
0.203650,357.2100000,,0.203880,40.0095296,,0.203880,116.3802700
0.213640,357.2000000,,0.213870,40.0095309,,0.213870,116.3802700
0.223640,357.2000000,,0.223860,40.0095321,,0.223860,116.3802699
0.233630,357.2000000,,0.233860,40.0095334,,0.233860,116.3802698
0.243630,357.2000000,,0.243860,40.0095347,,0.243860,116.3802697
0.253630,357.2000000,,0.253860,40.0095359,,0.253860,116.3802697
0.263630,357.1900000,,0.263860,40.0095372,,0.263860,116.3802696
0.274770,357.2000000,,0.275010,40.0095384,,0.275010,116.3802695
0.283930,357.2000000,,0.284160,40.0095397,,0.284160,116.3802694
0.294190,357.1900000,,0.294420,40.0095410,,0.294420,116.3802694
0.303640,357.1900000,,0.303870,40.0095422,,0.303870,116.3802693
0.313640,357.1900000,,0.313870,40.0095435,,0.313870,116.3802692
0.323630,357.1800000,,0.323870,40.0095448,,0.323870,116.3802691
0.333640,357.1800000,,0.333870,40.0095460,,0.333870,116.3802691
0.343640,357.1800000,,0.343870,40.0095473,,0.343870,116.3802690
0.353630,357.1800000,,0.353860,40.0095485,,0.353860,116.3802689
0.363630,357.1800000,,0.363860,40.0095498,,0.363860,116.3802688
0.374770,357.1700000,,0.375000,40.0095511,,0.375000,116.3802688
0.383630,357.1700000,,0.383860,40.0095523,,0.383860,116.3802687
0.393640,357.1600000,,0.393870,40.0095536,,0.393870,116.3802686
0.403620,357.1600000,,0.403860,40.0095549,,0.403860,116.3802685
0.413630,357.1600000,,0.413850,40.0095561,,0.413850,116.3802685
0.423640,357.1600000,,0.423870,40.0095574,,0.423870,116.3802684
0.433630,357.1500000,,0.433860,40.0095587,,0.433860,116.3802683
0.443630,357.1500000,,0.443860,40.0095599,,0.443860,116.3802682
0.453630,357.1400000,,0.453860,40.0095612,,0.453860,116.3802682
0.463630,357.1400000,,0.463850,40.0095624,,0.463850,116.3802681
0.474740,357.1400000,,0.474970,40.0095637,,0.474970,116.3802680
0.483860,357.1400000,,0.484090,40.0095650,,0.484090,116.3802679
0.494380,357.1300000,,0.494610,40.0095662,,0.494610,116.3802679
0.503610,357.1300000,,0.503840,40.0095675,,0.503840,116.3802678
0.513630,357.1300000,,0.513860,40.0095688,,0.513860,116.3802677
0.523610,357.1200000,,0.523840,40.0095700,,0.523840,116.3802676
0.533610,357.1300000,,0.533830,40.0095713,,0.533830,116.3802675
0.543590,357.1200000,,0.543820,40.0095725,,0.543820,116.3802675
0.553600,357.1200000,,0.553830,40.0095738,,0.553830,116.3802674
0.563590,357.1100000,,0.563830,40.0095751,,0.563830,116.3802673
0.574720,357.1100000,,0.574960,40.0095763,,0.574960,116.3802672
0.583600,357.1100000,,0.583830,40.0095776,,0.583830,116.3802671
0.593580,357.1100000,,0.593810,40.0095788,,0.593810,116.3802671
0.603590,357.1100000,,0.603820,40.0095801,,0.603820,116.3802670
0.613590,357.1000000,,0.613820,40.0095814,,0.613820,116.3802669
0.623590,357.1000000,,0.623820,40.0095826,,0.623820,116.3802668
